         # time          P(Pa)
   0.335284E+00   0.512204E+05
   0.336052E+00   0.476637E+05
   0.336860E+00   0.441560E+05
   0.337711E+00   0.407116E+05
   0.338608E+00   0.373419E+05
   0.339553E+00   0.340555E+05
   0.340548E+00   0.308588E+05
   0.341597E+00   0.277562E+05
   0.342702E+00   0.247504E+05
   0.343865E+00   0.218428E+05
   0.345090E+00   0.190336E+05
   0.346380E+00   0.163222E+05
   0.347736E+00   0.137072E+05
   0.349163E+00   0.111866E+05
   0.350662E+00   0.875832E+04
   0.352236E+00   0.641972E+04
   0.353888E+00   0.416813E+04
   0.355621E+00   0.200075E+04
   0.357438E+00  -0.851737E+02
   0.359340E+00  -0.209239E+04
   0.361330E+00  -0.402355E+04
   0.363410E+00  -0.588116E+04
   0.365582E+00  -0.766761E+04
   0.367848E+00  -0.938508E+04
   0.370211E+00  -0.110356E+05
   0.372670E+00  -0.126210E+05
   0.375228E+00  -0.141429E+05
   0.377885E+00  -0.156027E+05
   0.380642E+00  -0.170017E+05
   0.383500E+00  -0.183410E+05
   0.386458E+00  -0.196214E+05
   0.389516E+00  -0.208436E+05
   0.392673E+00  -0.220083E+05
   0.395928E+00  -0.231157E+05
   0.399280E+00  -0.241661E+05
   0.402728E+00  -0.251598E+05
   0.406267E+00  -0.260968E+05
   0.409897E+00  -0.269769E+05
   0.413613E+00  -0.278001E+05
   0.417412E+00  -0.285662E+05
   0.421291E+00  -0.292749E+05
   0.425244E+00  -0.299261E+05
   0.429267E+00  -0.305193E+05
   0.433355E+00  -0.310543E+05
   0.437502E+00  -0.315309E+05
   0.441703E+00  -0.319488E+05
   0.445950E+00  -0.323077E+05
   0.450239E+00  -0.326075E+05
   0.454562E+00  -0.328481E+05
   0.458912E+00  -0.330294E+05
   0.463283E+00  -0.331514E+05
   0.467666E+00  -0.332142E+05
   0.472056E+00  -0.332180E+05
   0.476445E+00  -0.331629E+05
   0.480826E+00  -0.330494E+05
   0.485191E+00  -0.328779E+05
   0.489534E+00  -0.326487E+05
   0.493848E+00  -0.323626E+05
   0.498126E+00  -0.320200E+05
   0.502362E+00  -0.316218E+05
   0.506549E+00  -0.311687E+05
   0.510683E+00  -0.306614E+05
   0.514757E+00  -0.301010E+05
   0.518767E+00  -0.294882E+05
   0.522707E+00  -0.288241E+05
   0.526573E+00  -0.281095E+05
   0.530362E+00  -0.273455E+05
   0.534070E+00  -0.265331E+05
   0.537693E+00  -0.256733E+05
   0.541228E+00  -0.247670E+05
   0.544675E+00  -0.238153E+05
   0.548030E+00  -0.228192E+05
   0.551292E+00  -0.217796E+05
   0.554461E+00  -0.206975E+05
   0.557535E+00  -0.195738E+05
   0.560513E+00  -0.184095E+05
   0.563397E+00  -0.172056E+05
   0.566186E+00  -0.159631E+05
   0.568880E+00  -0.146828E+05
   0.571481E+00  -0.133659E+05
   0.573990E+00  -0.120135E+05
   0.576408E+00  -0.106265E+05
   0.578737E+00  -0.920641E+04
   0.580978E+00  -0.775439E+04
   0.583133E+00  -0.627194E+04
   0.585205E+00  -0.476069E+04
   0.587196E+00  -0.322242E+04
   0.589107E+00  -0.165914E+04
   0.590942E+00  -0.730890E+02
   0.592703E+00   0.153325E+04
   0.594393E+00   0.315712E+04
   0.596013E+00   0.479546E+04
   0.597567E+00   0.644493E+04
   0.599058E+00   0.810188E+04
   0.600488E+00   0.976234E+04
   0.601859E+00   0.114221E+05
   0.603175E+00   0.130766E+05
   0.604438E+00   0.147212E+05
   0.605650E+00   0.163508E+05
   0.606815E+00   0.179606E+05
   0.607934E+00   0.195453E+05
   0.609011E+00   0.210998E+05
   0.610047E+00   0.226191E+05
   0.611045E+00   0.240983E+05
   0.612008E+00   0.255328E+05
   0.612937E+00   0.269182E+05
   0.613835E+00   0.282504E+05
   0.614704E+00   0.295258E+05
   0.615546E+00   0.307413E+05
   0.616362E+00   0.318938E+05
   0.617156E+00   0.329810E+05
   0.617929E+00   0.340006E+05
   0.618682E+00   0.349507E+05
   0.619418E+00   0.358297E+05
   0.620138E+00   0.366359E+05
   0.620844E+00   0.373678E+05
   0.621537E+00   0.380237E+05
   0.622219E+00   0.386022E+05
   0.622892E+00   0.391015E+05
   0.623557E+00   0.395197E+05
   0.624215E+00   0.398551E+05
   0.624868E+00   0.401058E+05
   0.625518E+00   0.402700E+05
   0.626165E+00   0.403459E+05
   0.626811E+00   0.403323E+05
   0.627457E+00   0.402281E+05
   0.628104E+00   0.400325E+05
   0.628754E+00   0.397454E+05
   0.629409E+00   0.393672E+05
   0.630068E+00   0.388990E+05
   0.630734E+00   0.383423E+05
   0.631407E+00   0.376994E+05
   0.632090E+00   0.369733E+05
   0.632782E+00   0.361674E+05
   0.633486E+00   0.352856E+05
   0.634202E+00   0.343324E+05
   0.634933E+00   0.333127E+05
   0.635678E+00   0.322315E+05
   0.636439E+00   0.310942E+05
   0.637218E+00   0.299063E+05
   0.638015E+00   0.286732E+05
   0.638833E+00   0.274005E+05
   0.639672E+00   0.260937E+05
   0.640534E+00   0.247579E+05
   0.641420E+00   0.233984E+05
   0.642331E+00   0.220200E+05
   0.643269E+00   0.206273E+05
   0.644235E+00   0.192247E+05
   0.645230E+00   0.178162E+05
   0.646256E+00   0.164056E+05
   0.647315E+00   0.149963E+05
   0.648407E+00   0.135914E+05
   0.649534E+00   0.121937E+05
   0.650698E+00   0.108058E+05
   0.651900E+00   0.943003E+04
   0.653141E+00   0.806829E+04
   0.654424E+00   0.672239E+04
   0.655748E+00   0.539386E+04
   0.657116E+00   0.408405E+04
   0.658529E+00   0.279411E+04
   0.659989E+00   0.152503E+04
   0.661497E+00   0.277637E+03
   0.663054E+00  -0.947365E+03
   0.664662E+00  -0.214939E+04
   0.666321E+00  -0.332795E+04
   0.668034E+00  -0.448265E+04
   0.669801E+00  -0.561316E+04
   0.671623E+00  -0.671922E+04
   0.673502E+00  -0.780059E+04
   0.675438E+00  -0.885712E+04
   0.677433E+00  -0.988864E+04
   0.679488E+00  -0.108950E+05
   0.681602E+00  -0.118761E+05
   0.683777E+00  -0.128319E+05
   0.686014E+00  -0.137622E+05
   0.688313E+00  -0.146670E+05
   0.690673E+00  -0.155460E+05
   0.693097E+00  -0.163992E+05
   0.695582E+00  -0.172265E+05
   0.698131E+00  -0.180278E+05
   0.700741E+00  -0.188027E+05
   0.703414E+00  -0.195513E+05
   0.706148E+00  -0.202732E+05
   0.708944E+00  -0.209684E+05
   0.711799E+00  -0.216365E+05
   0.714714E+00  -0.222774E+05
   0.717686E+00  -0.228909E+05
   0.720716E+00  -0.234766E+05
   0.723801E+00  -0.240343E+05
   0.726940E+00  -0.245639E+05
   0.730130E+00  -0.250650E+05
   0.733371E+00  -0.255374E+05
   0.736660E+00  -0.259808E+05
   0.739994E+00  -0.263951E+05
   0.743372E+00  -0.267800E+05
   0.746790E+00  -0.271352E+05
   0.750246E+00  -0.274606E+05
   0.753737E+00  -0.277560E+05
   0.757260E+00  -0.280212E+05
   0.760813E+00  -0.282561E+05
   0.764391E+00  -0.284607E+05
   0.767992E+00  -0.286347E+05
   0.771612E+00  -0.287782E+05
   0.775248E+00  -0.288911E+05
   0.778896E+00  -0.289734E+05
   0.782553E+00  -0.290253E+05
   0.786216E+00  -0.290466E+05
   0.789880E+00  -0.290377E+05
   0.793542E+00  -0.289985E+05
   0.797200E+00  -0.289294E+05
   0.800848E+00  -0.288304E+05
   0.804484E+00  -0.287019E+05
   0.808105E+00  -0.285442E+05
   0.811707E+00  -0.283575E+05
   0.815286E+00  -0.281422E+05
   0.818840E+00  -0.278988E+05
   0.822366E+00  -0.276275E+05
   0.825861E+00  -0.273288E+05
   0.829322E+00  -0.270033E+05
   0.832746E+00  -0.266513E+05
   0.836131E+00  -0.262735E+05
   0.839475E+00  -0.258703E+05
   0.842774E+00  -0.254423E+05
   0.846028E+00  -0.249901E+05
   0.849235E+00  -0.245142E+05
   0.852392E+00  -0.240152E+05
   0.855498E+00  -0.234939E+05
   0.858552E+00  -0.229508E+05
   0.861552E+00  -0.223865E+05
   0.864498E+00  -0.218018E+05
   0.867388E+00  -0.211972E+05
   0.870222E+00  -0.205735E+05
   0.872999E+00  -0.199314E+05
   0.875718E+00  -0.192715E+05
   0.878380E+00  -0.185946E+05
   0.880984E+00  -0.179014E+05
   0.883531E+00  -0.171926E+05
   0.886020E+00  -0.164691E+05
   0.888451E+00  -0.157316E+05
   0.890825E+00  -0.149808E+05
   0.893142E+00  -0.142177E+05
   0.895403E+00  -0.134429E+05
   0.897609E+00  -0.126575E+05
   0.899760E+00  -0.118623E+05
   0.901857E+00  -0.110582E+05
   0.903901E+00  -0.102462E+05
   0.905893E+00  -0.942722E+04
   0.907834E+00  -0.860235E+04
   0.909725E+00  -0.777261E+04
   0.911567E+00  -0.693910E+04
   0.913362E+00  -0.610297E+04
   0.915110E+00  -0.526538E+04
   0.916813E+00  -0.442755E+04
   0.918472E+00  -0.359072E+04
   0.920089E+00  -0.275617E+04
   0.921664E+00  -0.192524E+04
   0.923200E+00  -0.109926E+04
   0.924697E+00  -0.279612E+03
   0.926157E+00   0.532294E+03
   0.927581E+00   0.133504E+04
   0.928971E+00   0.212718E+04
   0.930327E+00   0.290728E+04
   0.931652E+00   0.367387E+04
   0.932947E+00   0.442551E+04
   0.934213E+00   0.516075E+04
   0.935451E+00   0.587815E+04
   0.936663E+00   0.657629E+04
   0.937850E+00   0.725379E+04
   0.939013E+00   0.790928E+04
   0.940154E+00   0.854142E+04
   0.941274E+00   0.914891E+04
   0.942374E+00   0.973049E+04
   0.943456E+00   0.102849E+05
   0.944520E+00   0.108111E+05
   0.945568E+00   0.113078E+05
   0.946601E+00   0.117741E+05
   0.947620E+00   0.122088E+05
   0.948627E+00   0.126111E+05
   0.949622E+00   0.129799E+05
   0.950607E+00   0.133145E+05
   0.951582E+00   0.136141E+05
   0.952549E+00   0.138779E+05
   0.953509E+00   0.141054E+05
   0.954463E+00   0.142959E+05
   0.955412E+00   0.144490E+05
   0.956357E+00   0.145642E+05
   0.957299E+00   0.146414E+05
   0.958239E+00   0.146801E+05
   0.959178E+00   0.146805E+05
   0.960118E+00   0.146424E+05
   0.961058E+00   0.145661E+05
   0.962000E+00   0.144517E+05
   0.962945E+00   0.142996E+05
   0.963894E+00   0.141103E+05
   0.964849E+00   0.138844E+05
   0.965809E+00   0.136225E+05
   0.966775E+00   0.133256E+05
   0.967750E+00   0.129945E+05
   0.968733E+00   0.126304E+05
   0.969727E+00   0.122342E+05
   0.970730E+00   0.118073E+05
   0.971746E+00   0.113510E+05
   0.972774E+00   0.108665E+05
   0.973815E+00   0.103554E+05
   0.974872E+00   0.981915E+04
   0.975943E+00   0.925918E+04
   0.977031E+00   0.867708E+04
   0.978137E+00   0.807439E+04
   0.979261E+00   0.745268E+04
   0.980404E+00   0.681351E+04
   0.981568E+00   0.615841E+04
   0.982753E+00   0.548892E+04
   0.983960E+00   0.480653E+04
   0.985190E+00   0.411272E+04
   0.986445E+00   0.340890E+04
   0.987726E+00   0.269646E+04
   0.989032E+00   0.197674E+04
   0.990366E+00   0.125102E+04
   0.991728E+00   0.520525E+03
   0.993119E+00  -0.213561E+03
   0.994540E+00  -0.950118E+03
   0.995993E+00  -0.168808E+04
   0.997477E+00  -0.242644E+04
   0.998995E+00  -0.316425E+04
   0.100055E+01  -0.390059E+04
   0.100213E+01  -0.463462E+04
   0.100376E+01  -0.536555E+04
   0.100542E+01  -0.609261E+04
   0.100711E+01  -0.681511E+04
   0.100885E+01  -0.753238E+04
   0.101062E+01  -0.824380E+04
   0.101244E+01  -0.894878E+04
   0.101429E+01  -0.964677E+04
   0.101619E+01  -0.103373E+05
   0.101813E+01  -0.110197E+05
   0.102011E+01  -0.116938E+05
   0.102214E+01  -0.123589E+05
   0.102421E+01  -0.130148E+05
   0.102633E+01  -0.136610E+05
   0.102849E+01  -0.142971E+05
   0.103069E+01  -0.149227E+05
   0.103295E+01  -0.155376E+05
   0.103524E+01  -0.161414E+05
   0.103759E+01  -0.167338E+05
   0.103998E+01  -0.173144E+05
   0.104242E+01  -0.178830E+05
   0.104491E+01  -0.184393E+05
   0.104744E+01  -0.189830E+05
   0.105002E+01  -0.195138E+05
   0.105265E+01  -0.200314E+05
   0.105533E+01  -0.205355E+05
   0.105805E+01  -0.210260E+05
   0.106081E+01  -0.215025E+05
   0.106362E+01  -0.219648E+05
   0.106648E+01  -0.224126E+05
   0.106938E+01  -0.228457E+05
   0.107233E+01  -0.232638E+05
   0.107531E+01  -0.236668E+05
   0.107834E+01  -0.240543E+05
   0.108141E+01  -0.244262E+05
   0.108452E+01  -0.247822E+05
   0.108767E+01  -0.251222E+05
   0.109085E+01  -0.254459E+05
   0.109407E+01  -0.257532E+05
   0.109732E+01  -0.260439E+05
   0.110061E+01  -0.263177E+05
   0.110393E+01  -0.265746E+05
   0.110727E+01  -0.268145E+05
   0.111065E+01  -0.270371E+05
   0.111405E+01  -0.272423E+05
   0.111747E+01  -0.274302E+05
   0.112092E+01  -0.276005E+05
   0.112439E+01  -0.277532E+05
   0.112787E+01  -0.278883E+05
   0.113137E+01  -0.280057E+05
   0.113489E+01  -0.281054E+05
   0.113841E+01  -0.281873E+05
   0.114195E+01  -0.282517E+05
   0.114549E+01  -0.282983E+05
   0.114904E+01  -0.283274E+05
   0.115260E+01  -0.283390E+05
   0.115615E+01  -0.283331E+05
   0.115970E+01  -0.283099E+05
   0.116325E+01  -0.282696E+05
   0.116680E+01  -0.282122E+05
   0.117033E+01  -0.281380E+05
   0.117386E+01  -0.280471E+05
   0.117737E+01  -0.279397E+05
   0.118087E+01  -0.278161E+05
   0.118436E+01  -0.276766E+05
   0.118783E+01  -0.275212E+05
   0.119127E+01  -0.273505E+05
   0.119470E+01  -0.271645E+05
   0.119811E+01  -0.269637E+05
   0.120149E+01  -0.267484E+05
   0.120484E+01  -0.265189E+05
   0.120816E+01  -0.262755E+05
   0.121146E+01  -0.260186E+05
   0.121473E+01  -0.257486E+05
   0.121796E+01  -0.254659E+05
   0.122116E+01  -0.251708E+05
   0.122433E+01  -0.248639E+05
   0.122746E+01  -0.245454E+05
   0.123056E+01  -0.242159E+05
   0.123362E+01  -0.238757E+05
   0.123664E+01  -0.235254E+05
   0.123962E+01  -0.231653E+05
   0.124257E+01  -0.227960E+05
   0.124547E+01  -0.224178E+05
   0.124834E+01  -0.220314E+05
   0.125116E+01  -0.216371E+05
   0.125395E+01  -0.212354E+05
   0.125669E+01  -0.208269E+05
   0.125939E+01  -0.204120E+05
   0.126205E+01  -0.199913E+05
   0.126468E+01  -0.195653E+05
   0.126726E+01  -0.191345E+05
   0.126980E+01  -0.186994E+05
   0.127230E+01  -0.182605E+05
   0.127476E+01  -0.178184E+05
   0.127718E+01  -0.173736E+05
   0.127956E+01  -0.169266E+05
   0.128190E+01  -0.164781E+05
   0.128420E+01  -0.160285E+05
   0.128647E+01  -0.155784E+05
   0.128869E+01  -0.151283E+05
   0.129088E+01  -0.146789E+05
   0.129304E+01  -0.142306E+05
   0.129516E+01  -0.137841E+05
   0.129724E+01  -0.133398E+05
   0.129929E+01  -0.128984E+05
   0.130131E+01  -0.124604E+05
   0.130329E+01  -0.120264E+05
   0.130525E+01  -0.115970E+05
   0.130717E+01  -0.111726E+05
   0.130906E+01  -0.107539E+05
   0.131092E+01  -0.103414E+05
   0.131276E+01  -0.993558E+04
   0.131456E+01  -0.953706E+04
   0.131634E+01  -0.914635E+04
   0.131810E+01  -0.876396E+04
   0.131983E+01  -0.839041E+04
   0.132153E+01  -0.802620E+04
   0.132322E+01  -0.767183E+04
   0.132488E+01  -0.732777E+04
   0.132652E+01  -0.699450E+04
   0.132814E+01  -0.667246E+04
   0.132974E+01  -0.636210E+04
   0.133132E+01  -0.606385E+04
   0.133289E+01  -0.577811E+04
   0.133444E+01  -0.550529E+04
   0.133597E+01  -0.524575E+04
   0.133749E+01  -0.499986E+04
   0.133900E+01  -0.476796E+04
   0.134049E+01  -0.455037E+04
   0.134197E+01  -0.434740E+04
   0.134344E+01  -0.415932E+04
   0.134490E+01  -0.398640E+04
   0.134635E+01  -0.382887E+04
   0.134779E+01  -0.368696E+04
   0.134923E+01  -0.356085E+04
   0.135066E+01  -0.345072E+04
   0.135208E+01  -0.335671E+04
   0.135350E+01  -0.327895E+04
   0.135491E+01  -0.321752E+04
   0.135632E+01  -0.317249E+04
   0.135773E+01  -0.314391E+04
   0.135914E+01  -0.313178E+04
   0.136055E+01  -0.313611E+04
   0.136195E+01  -0.315683E+04
   0.136336E+01  -0.319389E+04
   0.136477E+01  -0.324718E+04
   0.136619E+01  -0.331658E+04
   0.136760E+01  -0.340193E+04
   0.136902E+01  -0.350306E+04
   0.137045E+01  -0.361974E+04
   0.137188E+01  -0.375175E+04
   0.137332E+01  -0.389882E+04
   0.137477E+01  -0.406066E+04
   0.137623E+01  -0.423697E+04
   0.137769E+01  -0.442741E+04
   0.137917E+01  -0.463162E+04
   0.138065E+01  -0.484924E+04
   0.138215E+01  -0.507986E+04
   0.138366E+01  -0.532309E+04
   0.138518E+01  -0.557848E+04
   0.138672E+01  -0.584561E+04
   0.138827E+01  -0.612401E+04
   0.138984E+01  -0.641324E+04
   0.139143E+01  -0.671282E+04
   0.139303E+01  -0.702228E+04
   0.139465E+01  -0.734112E+04
   0.139629E+01  -0.766888E+04
   0.139794E+01  -0.800505E+04
   0.139962E+01  -0.834916E+04
   0.140132E+01  -0.870071E+04
   0.140304E+01  -0.905922E+04
   0.140479E+01  -0.942420E+04
   0.140656E+01  -0.979519E+04
   0.140835E+01  -0.101717E+05
   0.141016E+01  -0.105533E+05
   0.141201E+01  -0.109394E+05
   0.141387E+01  -0.113297E+05
   0.141577E+01  -0.117238E+05
   0.141769E+01  -0.121211E+05
   0.141964E+01  -0.125212E+05
   0.142162E+01  -0.129237E+05
   0.142363E+01  -0.133283E+05
   0.142567E+01  -0.137345E+05
   0.142774E+01  -0.141419E+05
   0.142985E+01  -0.145502E+05
   0.143198E+01  -0.149590E+05
   0.143415E+01  -0.153679E+05
   0.143635E+01  -0.157766E+05
   0.143859E+01  -0.161847E+05
   0.144086E+01  -0.165919E+05
   0.144316E+01  -0.169979E+05
   0.144550E+01  -0.174024E+05
   0.144788E+01  -0.178051E+05
   0.145029E+01  -0.182057E+05
   0.145274E+01  -0.186038E+05
   0.145523E+01  -0.189993E+05
   0.145775E+01  -0.193917E+05
   0.146032E+01  -0.197810E+05
   0.146292E+01  -0.201667E+05
   0.146556E+01  -0.205488E+05
   0.146823E+01  -0.209268E+05
   0.147095E+01  -0.213006E+05
   0.147371E+01  -0.216699E+05
   0.147650E+01  -0.220345E+05
   0.147933E+01  -0.223942E+05
   0.148221E+01  -0.227488E+05
   0.148512E+01  -0.230980E+05
   0.148807E+01  -0.234417E+05
   0.149106E+01  -0.237795E+05
   0.149409E+01  -0.241115E+05
   0.149716E+01  -0.244372E+05
   0.150026E+01  -0.247566E+05
   0.150341E+01  -0.250695E+05
   0.150659E+01  -0.253757E+05
   0.150981E+01  -0.256750E+05
   0.151306E+01  -0.259672E+05
   0.151636E+01  -0.262522E+05
   0.151969E+01  -0.265299E+05
   0.152305E+01  -0.268000E+05
   0.152645E+01  -0.270625E+05
   0.152988E+01  -0.273171E+05
   0.153335E+01  -0.275639E+05
   0.153685E+01  -0.278025E+05
   0.154038E+01  -0.280329E+05
   0.154395E+01  -0.282551E+05
   0.154754E+01  -0.284688E+05
   0.155116E+01  -0.286740E+05
   0.155482E+01  -0.288706E+05
   0.155849E+01  -0.290585E+05
   0.156220E+01  -0.292377E+05
   0.156593E+01  -0.294080E+05
   0.156968E+01  -0.295694E+05
   0.157346E+01  -0.297218E+05
   0.157726E+01  -0.298653E+05
   0.158108E+01  -0.299997E+05
   0.158492E+01  -0.301250E+05
   0.158878E+01  -0.302413E+05
   0.159266E+01  -0.303485E+05
   0.159655E+01  -0.304466E+05
   0.160045E+01  -0.305357E+05
   0.160437E+01  -0.306157E+05
